Editoriales españolas,,
Posición,Editorial,ICEE General
92,Los Libros de la Frontera,8
92,"Ministerio de Educación, Cultura y Deporte (Ministerio de Cultura y Deporte / Ministerio de Educación y Formación Profesional)",8
92,Netbiblo,8
92,Publicaciones DYNA,8
92,Real Academia Galega (RAG),8
92,Sendema,8
92,Tórculo Ediciones,8
93,Arcibel Editores,7
93,Athenaica Ediciones,7
93,Civitas (Aranzadi LA LEY / Karnov Group),7
93,Colegio de Registradores,7
93,Díaz de Santos,7
93,Ediciones del Oriente y del Mediterráneo,7
93,Edicions UIB – Universitat de les Illes Balears,7
93,Editorial Aula Magna (McGraw Hill),7
93,Editorial Barcino ,7
93,Editorial Delirio,7
93,Fundación Notariado,7
93,Instituto de Estadística y Cartografía de Andalucía,7
93,Istmo (Grupo Akal),7
93,Junta de Andalucía,7
93,La Oveja Roja,7
93,Pagès Editors,7
93,Sans Soleil Ediciones,7
93,Semana Internacional de Cine de Valladolid (SEMINCI),7
93,Sociedad de Estudios Latinos (SELat),7
93,Trabe,7
93,Umaeditorial. Universidad de Málaga,7
94,Andavira Editora,6
94,Ánfora Nova,6
94,Antonio Machado Libros,6
94,CISS (Aranzadi LA LEY / Karnov Group),6
94,Comunidad de Madrid,6
94,Festival de Cine Español de Málaga,6
94,GEU Editorial,6
94,Hiperión,6
94,Institución Alfons el Magnànim,6
94,Instituto de Estudios Almerienses,6
94,La Ergástula,6
94,Museo Arqueologico Regional. Alcalá de Henares.,6
94,Museo Nacional Centro de Arte Reina Sofía,6
94,Pepitas de calabaza,6
94,Sepín,6
94,Westlaw (Aranzadi LA LEY / Karnov Group),6
95,Centro de Estudios Andaluces,5
95,Clave Intelectual,5
95,Deusto Publicaciones,5
95,Ediciones del Serbal,5
95,Idea Editorial,5
95,Instituto Complutense de Ciencias Musicales,5
95,Instituto Geográfico Nacional,5
95,Sociedad Española de Investigación en Educación Matemática,5
96,Centro de Estudios Ramón Areces (CEURA),4
96,Edicions Tres i Quatre,4
96,Editorial UCA. Servicio de Publicaciones de la Universidad de Cádiz,4
96,El Derecho (Lefebvre),4
96,Garceta Grupo Editorial,4
96,Instituto de Estudios Riojanos,4
96,Museo Picasso Málaga,4
96,Museu Nacional d’Art de Catalunya,4
96,Polifemo,4
96,Real Academia de la Historia (RAH),4
96,Servicio de Publicaciones de la Universidad de León,4
96,Universidad de La Rioja. Servicio de Publicaciones,4
97,Aconcagua Libros,3
97,"Anaya (Grupo Anaya, Hachette Livre)",3
97,Davinci Continental,3
97,Edisofer,3
97,Editorial San Esteban,3
97,Editorial Universidad de Cantabria,3
97,edUPV. Universitadt Politècnica de València,3
97,Festival Internacional de Cine de San Sebastián,3
97,Instituto Nacional de Administración Pública (INAP),3
97,Museo Picasso Barcelona,3
98,Biblioteca Castro,2
98,Calambur Editorial,2
98,Centro de Ediciones de la Diputación de Málaga (CEDMA),2
98,Consejo General del Poder Judicial (CGPJ),2
98,Debate (Penguin Random House Grupo Editorial),2
98,Devenir,2
98,Diputación de Sevilla,2
98,Ediciones del Prado,2
98,Ediciones JC,2
98,Ediciones jurídicas Castillo de luna,2
98,Editorial Universidad de Almería,2
98,Eumo Editorial,2
98,Filmoteca de Catalunya,2
98,Gobierno de Navarra,2
98,Instituto Andaluz de Administración Pública,2
98,Ministerio de Trabajo y Economía Social,2
98,Promolibro Editorial,2
98,Real Academia Nacional de Farmacia,2
98,Sociedad Latina de Comunicación Social,2
99,Academia de las Artes y las Ciencias Cinematográficas de España,1
99,Centro de Estudios Municipales y Cooperación Internacional (CEMCI),1
99,Colección Mundo Digital (Universitat d’Alacant),1
99,Ediciones Martínez Roca (Grupo Planeta),1
99,Eolas Ediciones,1
99,EOS Psicología (Giunti Psyschometrics),1
99,Fundación de Investigaciones Marxistas,1
99,Fundación Ibn Tufayl,1
99,Fundación Telefónica,1
99,Kronos,1
99,Lex Nova,1
