Editorial,Comité de lectura de la colección,Comité de lectura de la editorial,Director/a de la colección,Director/a de la editorial,Expertos externos a la colección,Expertos externos a la editorial,Información sobre sistema de revisión de originales en su web
Editorial Universitaria (Cuba),,1,,1,,1,
Editorial Universitaria San Mateo,,1,,1,,1,1
Editorial Universitaria/Universidad De Panamá,,1,,1,,1,
Editorial Universitas,1,,1,1,1,1,
Editorial Universitat Politècncia de València,1,,,,1,,1
Editorial UOC,,1,1,1,1,1,
Editorial USACH (Universidad de Santiago de Chile),1,1,,1,1,1,
Editorial Verbum,1,1,1,,1,1,1
Edizioni Cantagalli SRL,1,1,1,1,,1,
EDUCA,,1,1,,,1,1
Edward Elgar Publishing,,1,1,,1,1,1
"Edward Everett Root Publishers Co. Limited (""The Series Editor” Studies in Irish Literature, Cinema and Culture)",,1,1,1,1,1,
Encuentro,1,1,1,,1,1,
Eolas Ediciones,,,,1,,1,
ESIC Editorial,,1,,,,1,
Eumed.net,,1,,1,,,1
EUNSA,,1,,,,1,
FahrenHouse,,1,,1,,1,
Fondo Editorial De La Universidad Católica De Cuyo,1,1,,1,,,
Fondo Editorial ITM,,1,1,1,,1,
Fondo Editorial Universidad Eafit,1,1,1,1,1,1,1
Fundación Arquia,,1,,,,1,1
Fundación de los Ferrocarriles Españoles,,,1,1,,1,
Fundación Juanelo Turriano,,1,,,,,
Fundación Universitaria San Pablo CEU (CEU Ediciones),1,1,1,1,1,1,1
GEDISA,1,1,1,1,1,1,
Genueve ediciones,1,1,1,,1,1,1
Grupo de Comunicación Loyola, S.L.U,,1,,,,1,
Guillermo Escolar Editor,1,,1,1,,1,
Herder Editorial, S.L.,,1,1,1,,1,1
High Rate Consulting Books,,1,1,1,1,1,1
Horsori Editorial,1,,1,1,,,
Humus,,1,,1,,,
Huygens Editorial,,,1,1,,1,1
Ibergarceta Publicaciones S.L.,,,,,,,1
Iberoamericana Editorial Vervuert,1,,,,1,1,1
Iberoamericana Editorial Vervuert, S.L.,,,,,,,1
IE Universidad, Unidad de Arqueología,1,1,1,1,1,1,1
Instituto Calasanz de Ciencias de la Educación,,,,,,,1
Instituto Catalán de Arqueología Clásica (ICAC),,1,,,,1,
Instituto de Altos Estudios Nacionales (IAEN, Ecuador),,1,,,,1,1
Instituto de Estudios Canarios,,1,,,,1,
Instituto de Estudios Fiscales,,1,,,,,
Instituto de Estudios Riojanos,,1,,,1,1,
Instituto de Orientación Psicológica Asociados EOS,,,1,1,,1,
Instituto Español de Estudios Estratégicos,,1,,,,,
Instituto Nacional de Administración Pública,,1,1,1,,,
IPROLEX,1,1,1,1,1,,1
Istmo, S.A.,,,,,,,1
Jerônimo Braga,1,1,1,,,1,
Laertes,1,1,1,1,1,1,
Libargo,1,,1,,1,1,1
Libargo,,,,1,1,1,1
LID Editorial,1,1,,,,,
Los Libros de la Catarata,,1,1,1,,1,
Mar Abierto,,1,,,,1,
Marcial Pons Ediciones de Historia,,1,,1,,1,
Marcial Pons Ediciones Jurídicas y Sociales,,1,1,,,1,
McGraw-Hill Education,,1,1,1,,1,1
Mensajero,,1,,,,1,
Mercurio Editorial,,,,,1,,
Miraguano Ediciones,1,,1,1,,1,
Museo Jorge Oteiza,,,1,1,,1,
Narcea S.A. de Ediciones,,1,,1,,1,1
Nau Llibres (Edicions Culturals Valencianes, S.A.),,,,,,,1
Obrador Edèndum,1,1,1,1,1,1,1
Octaedro,,1,,,,1,
OmniaScience,,,,,,,1
Open Book Publishers,1,1,1,1,1,1,1
Padilla Libros,1,1,1,1,1,1,
PASOS Edita,,,,,1,1,
Pirámide,1,,1,1,,1,
Pireo Editorial,,,1,1,1,1,1
Plaza y Valdés,1,1,,,1,1,
Portal Publishing,1,1,,,1,1,
Prensas de la Universidad de Zaragoza,,,,,,,1
Profit Editorial,,,,,,,1
Programa Editorial Universidad del Valle,,,,,,1,
Publicacions de la Universistat de València,1,1,1,,1,1,1
Publicacions i Edicions de la Universitat de Barcelona,1,1,,,1,1,1
